Ref,Player,Nation,Pos,Squad,Born,Age,Matches_played,Starts,Minutes,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
213,Ève Périsset,FRA,"DF,MF",Chelsea,1994,30,10,8,696,7.7,0,1,1,0,0,0,0,0,0.1,0.1,1.8,1.9,10,65,11,0,0.13,0.13,0,0.13,0.02,0.23,0.25,0.02,0.25
214,Lena Petermann,GER,FW,Leicester City,1994,30,13,12,1011,11.2,4,3,7,4,0,0,2,0,3.3,3.3,0.7,4,10,25,67,0.36,0.27,0.62,0.36,0.62,0.29,0.07,0.36,0.29,0.36
215,Ramona Petzelberger,GER,"MF,DF",Tottenham,1992,32,7,1,198,2.2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,7,12,0,0,0,0,0,0.03,0.02,0.05,0.03,0.05
216,Martina Piemonte,ITA,FW,Everton,1997,27,12,6,586,6.5,2,1,3,2,0,0,1,0,3.1,3.1,0.4,3.5,3,17,40,0.31,0.15,0.46,0.31,0.46,0.48,0.06,0.54,0.48,0.54
217,Tatiana Pinto,POR,"MF,FW",Brighton,1994,30,15,5,540,6,1,0,1,1,0,0,2,0,1.2,1.2,0.3,1.6,8,28,24,0.17,0,0.17,0.17,0.17,0.21,0.05,0.26,0.21,0.26
218,Ella Powell,WAL,DF,Bristol City,2000,24,15,14,1122,12.5,1,0,1,1,0,0,3,0,0.6,0.6,0.2,0.7,23,33,18,0.08,0,0.08,0.08,0.08,0.05,0.01,0.06,0.05,0.06
219,Mayra Ramírez,COL,FW,Chelsea,1999,25,4,3,263,2.9,1,0,1,1,0,0,0,0,1.6,1.6,0.7,2.3,8,7,19,0.34,0,0.34,0.34,0.34,0.53,0.25,0.78,0.53,0.78
220,Emily Ramsey,ENG,GK,Everton,2000,24,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,Jutta Rantala,FIN,"MF,FW",Leicester City,1999,25,15,13,1131,12.6,5,4,9,5,0,0,1,0,2.7,2.7,2.4,5,28,59,76,0.4,0.32,0.72,0.4,0.72,0.21,0.19,0.4,0.21,0.4
222,Guro Reiten,NOR,"FW,MF",Chelsea,1994,30,9,8,649,7.2,3,1,4,1,2,2,0,0,4.1,2.5,2.5,5.1,12,24,88,0.42,0.14,0.55,0.14,0.28,0.57,0.35,0.92,0.35,0.71
223,Jayde Riviere,CAN,DF,Manchester Utd,2001,23,11,9,863,9.6,0,1,1,0,0,0,3,0,0.1,0.1,1.8,1.9,14,41,30,0,0.1,0.1,0,0.1,0.01,0.19,0.2,0.01,0.2
